127.0.0.1 - - [04/Dec/2022:20:07:25 -0500] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:31 -0500] "GET /newtest/login.jsp HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:31 -0500] "GET /newtest/layui/css/main.css HTTP/1.1" 200 8570
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:31 -0500] "GET /newtest/layui/css/util.css HTTP/1.1" 200 92805
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:31 -0500] "GET /newtest/layui/css/font-awesome.min.css HTTP/1.1" 200 36253
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:31 -0500] "GET /newtest/layui/layui.js HTTP/1.1" 200 6672
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:31 -0500] "GET /newtest/layui/img/img-01.png HTTP/1.1" 200 8599
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:31 -0500] "GET /newtest/layui/css/layui.css HTTP/1.1" 200 84634
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:35 -0500] "GET /newtest/layui/fonts/poppins-bold.ttf HTTP/1.1" 200 141260
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:35 -0500] "GET /newtest/layui/fonts/poppins-medium.ttf HTTP/1.1" 200 143516
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:35 -0500] "GET /newtest/layui/fonts/fontawesome-webfont.woff2 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:35 -0500] "GET /newtest/layui/fonts/montserrat-bold.ttf HTTP/1.1" 200 261588
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:35 -0500] "GET /newtest/layui/fonts/poppins-regular.ttf HTTP/1.1" 200 145312
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:35 -0500] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:47 -0500] "POST /newtest/loginCheck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:47 -0500] "GET /newtest/adminPage.jsp HTTP/1.1" 200 13346
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:47 -0500] "GET /newtest/layui/lay/modules/form.js HTTP/1.1" 200 9459
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:47 -0500] "GET /newtest/layui/lay/modules/element.js HTTP/1.1" 200 7264
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:47 -0500] "GET /newtest/layui/lay/modules/layer.js HTTP/1.1" 200 22041
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:47 -0500] "GET /newtest/layui/lay/modules/jquery.js HTTP/1.1" 200 97648
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:07:47 -0500] "GET /newtest/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14425
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:23 -0500] "GET /newtest/activityDetail.jsp?id=31 HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:26 -0500] "GET /newtest/index.jsp HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:26 -0500] "GET /newtest/userPage.jsp HTTP/1.1" 200 7722
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:27 -0500] "GET /newtest/activityDetail.jsp?id=35 HTTP/1.1" 200 1166
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:29 -0500] "GET /newtest/index.jsp HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:29 -0500] "GET /newtest/userPage.jsp HTTP/1.1" 200 7722
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:42 -0500] "GET /newtest/login.jsp HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:46 -0500] "POST /newtest/loginCheck HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:46 -0500] "GET /newtest/userPage.jsp HTTP/1.1" 200 8629
0:0:0:0:0:0:0:1 - - [04/Dec/2022:20:08:53 -0500] "GET /newtest/layui/font/iconfont.woff2?v=250 HTTP/1.1" 200 23140
